time,underlyingApy,impliedApy,volume
Mon May 13 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.6861,47649.5265
Mon May 13 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.6695,25971.6555
Mon May 13 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.7005,108334.445
Mon May 13 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.7026,4810.7766
Mon May 13 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.7054,6457.4032
Mon May 13 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6969,21129.3513
Mon May 13 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6839,72904.5997
Mon May 13 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6531,111493.8787
Mon May 13 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6888,178759.3935
Mon May 13 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6892,1167.0382
Mon May 13 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6864,27618.7645
Mon May 13 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6812,96729.9672
Mon May 13 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6501,93063.4008
Mon May 13 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6527,20396.807
Mon May 13 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6848,99235.1617
Mon May 13 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.681,38111.5561
Mon May 13 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6781,20126.2672
Mon May 13 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6747,24487.6195
Mon May 13 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.6747,28541.0376
Mon May 13 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.6968,20919.5446
Tue May 14 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.6979,4767.483
Tue May 14 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.6987,7850.4205
Tue May 14 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.703,26910.6665
Tue May 14 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7058,6245.3341
Tue May 14 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.7104,11542.6263
Tue May 14 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.7077,7964.5156
Tue May 14 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6694,206982.4929
Tue May 14 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6573,14894.9905
Tue May 14 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6714,29720.2363
Tue May 14 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6865,37821.8986
Tue May 14 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6885,4344.0232
Tue May 14 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6834,82045.2986
Tue May 14 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6824,8172.8686
Tue May 14 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6897,23441.159
Tue May 14 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6896,202.4263
Tue May 14 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6961,32337.6559
Tue May 14 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6932,23484.1678
Tue May 14 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.7113,36751.8652
Tue May 14 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6936,34956.2851
Tue May 14 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.6944,6644.2542
Tue May 14 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6978,6430.5781
Tue May 14 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6765,103930.7692
