Datetime,ETH_Price,ETH_Returns,ENA_Price,ENA_Returns,claimed,total_claimed,Implied_APY,Stake,Total_Stake
2024-04-02 00:00:00+00:00,3277.8583984375,-0.0150937197471731,0.7846840620040894,0.348849573486047,95641951.18499996,253521183.71999967,,,
2024-04-03 00:00:00+00:00,3314.0966796875,0.0113989635566739,1.1282628774642944,0.3954934859667841,116210861.385,369732045.1049997,,,
2024-04-04 00:00:00+00:00,3331.051025390625,0.0054705386657599,0.9778778553009032,-0.1237945265031263,31683757.455,401415802.5599997,,,
2024-04-05 00:00:00+00:00,3318.5390625,-0.003356588312271,1.0190528631210327,0.0560650838487036,1466231.0450000002,402882033.6049997,,,
2024-04-06 00:00:00+00:00,3354.390869140625,0.0108547378854395,1.0880001783370972,0.0741124273107285,1857442.39,404739475.99499977,,,
2024-04-07 00:00:00+00:00,3453.281982421875,0.0292223443641799,1.18970787525177,0.0948089598049444,818376.385,405557852.3799999,,,
2024-04-08 00:00:00+00:00,3695.205322265625,0.0686702478289779,1.29708731174469,0.0996495649297676,14182837.799400002,419740690.1794001,,57191446.7243464,57191446.7243464
2024-04-09 00:00:00+00:00,3505.1171875,-0.0523108385503793,1.2372781038284302,-0.0429614685835189,14664103.793012004,434404793.97241217,,44166315.5977693,101357762.322116
2024-04-10 00:00:00+00:00,3544.0869140625,0.0117170817245227,1.4653995037078855,0.1764744962827339,16126851.532023996,450531645.5044362,,35827028.7204362,137184791.042552
2024-04-11 00:00:00+00:00,3506.996826171875,-0.0101267685292283,1.3700963258743286,-0.0643180962537919,659563.070888,451191208.5753242,,18215865.4592291,155400656.501781
2024-04-12 00:00:00+00:00,3243.595703125,-0.0769368542393544,1.2869809865951538,-0.0525376093703678,467920.133853,451659128.7091773,,20116121.442248,175516777.944029
2024-04-13 00:00:00+00:00,3010.029296875,-0.0708135519381364,1.0530465841293335,-0.1847403660854584,343748.831225,452002877.5404024,,15279841.8141815,190796619.758211
2024-04-14 00:00:00+00:00,3155.755859375,0.048653657313659,1.2066038846969604,0.1485853747512699,349726.747843,452352604.2882454,,15457304.1537798,206253923.91199
2024-04-15 00:00:00+00:00,3101.7900390625,-0.0159213157716882,1.055277705192566,-0.1290253914228269,244580.614059,452597184.9023043,,12743996.2855941,218997920.197585
2024-04-16 00:00:00+00:00,3085.2841796875,-0.0044944331461431,0.9822866320610046,-0.0648274336202227,253481.487492,452850666.3897964,,3887259.35728777,222885179.554872
2024-04-17 00:00:00+00:00,2983.861083984375,-0.032693074558152,0.925936996936798,-0.0555890529861178,265758.834273,453116425.2240694,,955364.93974096,223840544.494613
2024-04-18 00:00:00+00:00,3065.543701171875,0.0273735744171907,0.9117950201034546,-0.0107568547122969,571185.9034780001,453687611.1275474,,2615307.50316295,226455851.997776
2024-04-19 00:00:00+00:00,3059.356201171875,-0.0002590255722814,0.9723110198974608,0.0708600093833695,176755.283543,453864366.4110904,,47851.035067958,226503703.032844
2024-04-20 00:00:00+00:00,3155.5390625,0.0313058249250693,1.0846529006958008,0.1144573822576924,141111.971587,454005478.3826774,,-2607786.16227457,223895916.87057
2024-04-21 00:00:00+00:00,3148.148193359375,-0.0021963069531126,1.0507748126983645,-0.0299699748545795,140926.022981,454146404.4056583,,531828.924803771,224427745.795373
2024-04-22 00:00:00+00:00,3201.1259765625,0.016985661313438,1.0481038093566897,-0.0006745237783677,129870.91291,454276275.3185683,,-856490.330980538,223571255.464393
2024-04-23 00:00:00+00:00,3219.5556640625,0.0059786033337235,0.9382633566856384,-0.108808172634797,134629.489781,454410904.80834925,,-896612.533893175,222674642.9305
2024-04-24 00:00:00+00:00,3139.8076171875,-0.024664236241836,0.8737351894378662,-0.0685719352052098,4969259.363550001,459380164.1718992,,-482396.097835726,222192246.832664
2024-04-25 00:00:00+00:00,3157.79443359375,0.0060744206226538,0.8707992434501648,-0.0012175672771768,87037.73662299999,459467201.90852207,,-5572892.4759758,216619354.356688
2024-04-26 00:00:00+00:00,3130.2158203125,-0.0085879188428106,0.8230819702148438,-0.0544636725213826,167260.7307,459634462.639222,,-295301.932907153,216324052.423781
2024-04-27 00:00:00+00:00,3253.712158203125,0.0393812534168194,0.840201735496521,0.0235249699304405,213989.276458,459848451.9156799,,39464.535037969,216363516.958819
2024-04-28 00:00:00+00:00,3263.27880859375,0.0031785836721047,0.8470828533172607,0.0092604745411908,112334.704365,459960786.62004495,,339282.703429328,216702799.662248
2024-04-29 00:00:00+00:00,3215.36962890625,-0.0141548299860634,0.9292566776275636,0.0992622451590448,128856.854012,460089643.4740571,,107337.910459107,216810137.572707
2024-04-30 00:00:00+00:00,3014.131591796875,-0.0635267752249061,0.8147408962249756,-0.1287411394768419,149775.707488,460239419.181545,,427712.152175324,217237849.724883
2024-05-01 00:00:00+00:00,2971.200927734375,-0.0128341324603051,0.7991558909416199,-0.0135608168606459,146761.267586,460386180.44913095,,-1735623.1779992,215502226.546883
2024-05-02 00:00:00+00:00,2988.191162109375,0.0060498242544485,0.797362744808197,-0.0008715848038823,56580.027691,460442760.4768218,,-1772521.32720309,213729705.21968
2024-05-03 00:00:00+00:00,3103.584716796875,0.0383333946925347,0.8503494262695312,0.0656777535127777,9081122.77905905,469523883.2558809,,-1230873.30883762,212498831.910843
2024-05-04 00:00:00+00:00,3117.72021484375,0.0049040341361887,0.8269611597061157,-0.0266875304256926,13325850.781291911,482849734.03717285,,2171546.94846538,214670378.859308
2024-05-05 00:00:00+00:00,3137.7685546875,0.0066326825873692,0.8119879961013794,-0.0176870146620897,1362129.275647574,484211863.3128205,,1700173.4760241,216370552.335332
2024-05-06 00:00:00+00:00,3063.48828125,-0.0234391988638524,0.8924744725227356,0.0984878164288866,4846310.065116192,489058173.3779368,,6436017.38281306,222806569.718145
2024-05-07 00:00:00+00:00,3006.80712890625,-0.0182275802705088,0.9195123314857484,0.0351498942051118,2498214.319839593,491556387.6977764,,-41119.248843048,222765450.469302
2024-05-08 00:00:00+00:00,2972.27685546875,-0.0112438881004202,0.8752835392951965,-0.0464943691856609,1009931.8087477098,492566319.50652415,,-2970.101369727,222762480.367933
2024-05-09 00:00:00+00:00,3036.275390625,0.0215293033015746,0.8937161564826965,0.0220240686905239,445496.2226535693,493011815.7291778,,1856342.34568048,224618822.713613
2024-05-10 00:00:00+00:00,2909.651123046875,-0.0420827502980305,0.8502524495124817,-0.0472657443017612,1118842.6252740598,494130658.3544518,0.664,2722329.47261493,227341152.186228
2024-05-11 00:00:00+00:00,2910.509033203125,0.0003727991344231,0.8401591181755066,-0.0116037934204683,362723.5832120903,494493381.937664,0.6706958333333333,-2004810.53133077,225336341.654897
2024-05-12 00:00:00+00:00,2930.855224609375,0.007043543277634,0.8303555846214294,-0.0115197465688796,270429.30158034223,494763811.23924434,0.6829958333333334,-1057478.09725323,224278863.557644
2024-05-13 00:00:00+00:00,2949.75927734375,0.0068563645937703,0.7672584056854248,-0.0768415329590367,115658.66559831685,494879469.90484273,0.6845875,1825137.98774373,226104001.545388
2024-05-14 00:00:00+00:00,2881.265625,-0.0233866381009787,0.6918216943740845,-0.1021814755141089,195866.18389950992,495075336.0887423,0.6864666666666667,708686.973608474,226812688.518996
2024-05-15 00:00:00+00:00,3036.393798828125,0.0527860188894429,0.735039234161377,0.0648323213023185,59608.882299375706,495134944.9710416,0.6739999999999999,403572.405081578,227216260.924078
2024-05-16 00:00:00+00:00,2943.8408203125,-0.0307695837679576,0.6731038689613342,-0.0859279433747379,144958.06987518366,495279903.0409168,0.6579291666666667,1592877.51495391,228809138.439032
2024-05-17 00:00:00+00:00,3093.89306640625,0.0502318592666155,0.7203881740570068,0.0701509906852485,149782.9029354615,495429685.94385225,0.6596083333333334,-679727.698679566,228129410.740352
2024-05-18 00:00:00+00:00,3122.875,0.0094052359034008,0.7551188468933105,0.0493397104448205,70339.66026344834,495500025.6041157,0.7247041666666667,-249616.225152845,227879794.515199
2024-05-19 00:00:00+00:00,3072.527587890625,-0.0161554495579216,0.7122687101364136,-0.0579205438095089,174730.25515905872,495674755.8592748,0.7699208333333334,656237.755752116,228536032.270951
2024-05-20 00:00:00+00:00,3660.17333984375,0.1802999090089104,0.8348913788795471,0.1629410181889687,150448.6065021385,495825204.465777,0.7675958333333334,217500.211398075,228753532.482349
2024-05-21 00:00:00+00:00,3789.12109375,0.0352705925211167,0.8863998055458069,0.0641390200484958,545179.0586003091,496370383.5243772,0.7827208333333333,-7728337.21346544,221025195.268884
2024-05-22 00:00:00+00:00,3739.32763671875,-0.0127445737935579,0.8508274555206299,-0.0383734860160933,120912.96366920574,496491296.48804647,0.7816041666666668,394526.459138119,221419721.728022
2024-05-23 00:00:00+00:00,3777.575927734375,0.0112910525516185,0.8644840121269226,0.0188933928353989,79062.0650306667,496570358.5530771,0.7970291666666666,-670859.66099025,220748862.067032
2024-05-24 00:00:00+00:00,3726.80126953125,-0.0129619893915807,0.8494622111320496,-0.0145591731613974,140193.6503564809,496710552.2034336,0.8651166666666666,-299081.785895733,220449780.281136
2024-05-25 00:00:00+00:00,3750.240234375,0.0064000048513174,0.9125314354896544,0.0741413280068581,84943.98406763739,496795496.1875012,0.8619208333333334,804956.701910099,221254736.983046
2024-05-26 00:00:00+00:00,3825.5595703125,0.0201721145762668,0.9214012622833252,0.0115490358858532,392178.8749318268,497187675.062433,0.8227208333333333,-3048711.71110461,218206025.271942
2024-05-27 00:00:00+00:00,3894.237060546875,0.0180500070755778,0.920253574848175,0.0003700995374243,56845.80474354034,497244520.8671766,0.8963125,51032990.6748561,269239015.946798
2024-05-28 00:00:00+00:00,3839.238525390625,-0.0138787302738888,0.8926935195922852,-0.0287940793712301,393464.9612703222,497637985.8284469,0.8871333333333333,16665550.8892342,285904566.836032
2024-05-29 00:00:00+00:00,3762.341064453125,-0.0200612655185088,0.8353496193885803,-0.0658329888829989,36512.90822633174,497674498.7366733,0.8784166666666667,-1981171.77564773,283923395.060384
2024-05-30 00:00:00+00:00,3747.88818359375,-0.0034873950401091,0.8710694909095764,0.0436967174909694,75307.75208039572,497749806.48875374,0.8734833333333333,-416075.441145328,283507319.619239
2024-05-31 00:00:00+00:00,3762.162841796875,0.0040204453721682,0.878947913646698,0.0105831559793163,20559.410958216176,497770365.899712,0.8502208333333333,3033140.38760737,286540460.006846
