Datetime,ETH_Price,ETH_Returns,ENA_Price,ENA_Returns,claimed,total_claimed,Implied_APY
2024-04-02 10:00:00+00:00,3328.758056640625,,0.5654714107513428,,14442552.449999986,172321784.98499975,
2024-04-02 11:00:00+00:00,3303.28564453125,-0.0076522269494953,0.6003904938697815,0.06175216368948111,11849266.33500001,184171051.31999972,
2024-04-02 12:00:00+00:00,3295.68115234375,-0.0023020994869424882,0.6173515915870667,0.028250110370607873,5541765.405000004,189712816.72499976,
2024-04-02 13:00:00+00:00,3271.3134765625,-0.007393820777814253,0.6792266368865967,0.10022659071869211,18617974.139999937,208330790.86499968,
2024-04-02 14:00:00+00:00,3291.756591796875,0.006249207048129479,0.6854790449142456,0.009205186734590365,11731060.37499999,220061851.23999968,
2024-04-02 15:00:00+00:00,3238.8583984375,-0.01606989820911986,0.6965355277061462,0.016129570807352334,9931998.06500002,229993849.3049997,
2024-04-02 16:00:00+00:00,3262.5234375,0.007306598854064372,0.7285845279693604,0.04601201085716178,5595135.190000005,235588984.4949997,
2024-04-02 17:00:00+00:00,3267.447509765625,0.0015092833384817705,0.8021227717399597,0.10093302965897166,2903222.0049999994,238492206.4999997,
2024-04-02 18:00:00+00:00,3275.70703125,0.002527820710107598,0.866259753704071,0.07995905891686106,4933264.115000002,243425470.6149997,
2024-04-02 19:00:00+00:00,3282.234375,0.0019926518726276488,0.8651601076126099,-0.0012694184241610618,1389696.3249999993,244815166.9399997,
2024-04-02 20:00:00+00:00,3273.34716796875,-0.0027076698419046252,0.8187456130981445,-0.05364844507514932,1183469.1850000003,245998636.1249997,
2024-04-02 21:00:00+00:00,3267.4638671875,-0.0017973348011542933,0.859725832939148,0.05005244508844897,2974183.729999998,248972819.8549997,
2024-04-02 22:00:00+00:00,3299.14208984375,0.009695049109607279,0.8408412337303162,-0.021965838974817076,1942833.67,250915653.52499968,
2024-04-02 23:00:00+00:00,3277.8583984375,-0.006451280613760435,0.7846840620040894,-0.06678689088199274,2605530.194999998,253521183.71999967,
2024-04-03 00:00:00+00:00,3270.483154296875,-0.002250019141809334,0.7589728236198425,-0.0327663573522573,916679.5899999988,254437863.30999967,
2024-04-03 01:00:00+00:00,3299.251220703125,0.008796274143303195,0.8521701693534851,0.12279404852620068,1096640.8649999998,255534504.17499968,
2024-04-03 02:00:00+00:00,3307.82373046875,0.0025983197980898876,0.8377249836921692,-0.01695105764177951,934583.3849999998,256469087.55999967,
2024-04-03 03:00:00+00:00,3315.7353515625,0.002391790415213313,0.8727523684501648,0.0418125105969942,1143054.485,257612142.0449997,
2024-04-03 04:00:00+00:00,3318.32763671875,0.0007818130463965733,0.8361709117889404,-0.04191504713551886,917941.0149999994,258530083.05999967,
2024-04-03 05:00:00+00:00,3294.72900390625,-0.007111604216344047,0.822344958782196,-0.016534840918066118,1333637.0199999996,259863720.0799997,
2024-04-03 06:00:00+00:00,3312.0458984375,0.005255938959082496,0.8559818267822266,0.04090359847264469,727848.6699999996,260591568.74999967,
2024-04-03 07:00:00+00:00,3306.902587890625,-0.0015529104078242373,0.90335613489151,0.055344992880714594,671226.4099999997,261262795.15999967,
2024-04-03 08:00:00+00:00,3348.260498046875,0.012506540201001393,0.9229258894920349,0.021663388164043562,1019605.829999999,262282400.98999968,
2024-04-03 09:00:00+00:00,3347.085205078125,-0.000351015988581449,0.9314227104187012,0.009206395685078084,636141.475,262918542.46499968,
2024-04-03 10:00:00+00:00,3319.5,-0.008241560458715935,0.9328171610832214,0.0014971190297619064,1828131.1750000005,264746673.6399997,
2024-04-03 11:00:00+00:00,3321.1513671875,0.0004974746761561288,0.9120076298713684,-0.022308263698416764,334532.93000000005,265081206.5699997,
2024-04-03 12:00:00+00:00,3311.0390625,-0.003044818970736496,0.9220283031463623,0.010987488423103597,1255664.16,266336870.7299997,
2024-04-03 13:00:00+00:00,3309.52587890625,-0.00045701170091527743,0.9496804475784302,0.02999055922438254,4905869.865000003,271242740.5949997,
2024-04-03 14:00:00+00:00,3354.956298828125,0.013727168659242839,1.027299165725708,0.08173140591153172,799692.9549999998,272042433.54999965,
2024-04-03 15:00:00+00:00,3330.5732421875,-0.007267771758798114,1.1996079683303833,0.16772991583513286,378106.6049999999,272420540.1549997,
2024-04-03 16:00:00+00:00,3353.742431640625,0.006956517022249198,1.179703712463379,-0.0165923004785532,2378539.2900000005,274799079.4449997,
2024-04-03 17:00:00+00:00,3327.148681640625,-0.007929574361198233,1.1197987794876099,-0.050779642670344405,503858.425,275302937.8699997,
2024-04-03 18:00:00+00:00,3332.311767578125,0.0015518049932634614,1.0977522134780884,-0.01968797110103071,75708709.58500001,351011647.4549997,
2024-04-03 19:00:00+00:00,3321.529052734375,-0.0032358061297448337,1.1224498748779297,0.022498393623447965,12778093.169999994,363789740.6249997,
2024-04-03 20:00:00+00:00,3306.711181640625,-0.004461159561904626,1.0897966623306274,-0.029091020702241566,877603.3799999998,364667344.0049997,
2024-04-03 21:00:00+00:00,3317.223876953125,0.0031791997350323342,1.1403117179870605,0.04635273478302104,4019356.974999999,368686700.9799997,
2024-04-03 22:00:00+00:00,3320.70654296875,0.0010498736729291913,1.1182314157485962,-0.01936339150968447,446373.9199999997,369133074.8999997,
2024-04-03 23:00:00+00:00,3314.0966796875,-0.001990499068713514,1.1282628774642944,0.008970828018619592,598970.2050000001,369732045.1049997,
2024-04-04 00:00:00+00:00,3328.09619140625,0.004224231539337708,1.0995451211929321,-0.025453072014479328,891778.8500000003,370623823.9549997,
