time,underlyingApy,impliedApy,volume
Tue May 28 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.9049,24878.8576
Tue May 28 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.9366,55215.0211
Tue May 28 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.9434,25594.0993
Tue May 28 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.9491,9828.859
Tue May 28 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.9193,56367.9396
Tue May 28 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.8726,906946.826
Tue May 28 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.8723,26442.3445
Tue May 28 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.8636,16404.7375
Tue May 28 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.8602,12656.0998
Tue May 28 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.8723,19297.1954
Tue May 28 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.87,74238.7696
Tue May 28 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.9242,102951.0269
Tue May 28 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.8918,66330.106
Tue May 28 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.895,16484.2734
Tue May 28 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.8942,1514.1267
Tue May 28 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.8557,289462.3526
Tue May 28 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.8536,107318.6571
Tue May 28 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.8544,1453.5614
Wed May 29 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.849,9977.1024
Wed May 29 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.8493,8967.3403
Wed May 29 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.8481,21784.9739
Wed May 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.9117,283932.4462
Wed May 29 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.895,49308.687
Wed May 29 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.9076,24486.7989
Wed May 29 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.8998,18400.9671
Wed May 29 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.8766,47235.267
Wed May 29 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.8648,47012.3932
Wed May 29 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.8603,29576.7928
Wed May 29 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.8831,115367.0958
Wed May 29 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.8979,59291.6875
Wed May 29 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.8859,26659.9899
Wed May 29 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.8945,52401.497
Wed May 29 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.8612,130830.0136
Wed May 29 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.8794,125919.7147
Wed May 29 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.8809,101565.2531
Wed May 29 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.8805,17305.1902
Wed May 29 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.8845,63824.4917
Wed May 29 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.8803,7199.339
Wed May 29 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.8821,57251.3613
Wed May 29 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.8629,2609.8743
Wed May 29 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.8313,1055427.762
Wed May 29 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.8521,46439.7376
Thu May 30 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.8519,418.3287
Thu May 30 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.8723,37154.6774
Thu May 30 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.8854,24508.3135
Thu May 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.882,5796.0213
